iter	Passed	Remaining
0	144	144390
1	146	73163
2	148	49377
3	151	37773
4	155	30903
5	158	26319
6	180	25566
7	182	22682
8	186	20508
9	170	16916
10	199	17965
11	203	16732
12	206	15660
13	188	13254
14	195	12819
15	197	12124
16	221	12817
17	225	12304
18	232	12003
19	237	11624
20	239	11161
21	243	10828222	246	104823	228	9300
24	234	9133
25	238	8928
26	241	8694
27	246	8573
28	249	8359
29	251	8133
30	254	7946
31	31	278	8432	32	285	8333	268	7618
34	34	294	8135	35	297	7936	36	301	7837	37	305	7741
38	309	7626
39	313	7533
40	315	7379
41	319	7284
42	322	7175
43	323	7044	44	329	6999
45	334	6927
46	337	6849
47	356	7048	48	371	7218
49	375	7142
50	379	7069
51	389	7102
52	394	7053
53	397	6956
54	402	6911
55	408	6889
56	415	6876
57	426	6928
58	429	6845
59	435	6826
60	440	6779
61	445	6733
62	452	6737
63	458	6702
64	489	7038
65	502	7105
66	508	7085
67	514	7051
68	516	6966
69	518	6882
70	519	6799
71	521	6726
72	528	6713
73	536	6714
74	543	6697
75	547	6650
76	550	6599
77	553	6545
78	558	6515
79	562	6471
80	567	6442
81	570	6388
82	576	6366
83	581	6336
84	584	6287
85	586	6238
86	593	6223
87	599	6218
88	607	6221
89	613	6199
90	618	6178
91	625	6176
92	630	6149
93	634	6117
94	640	6098
95	644	6072
96	648	6040
97	653	6014
98	660	6006
99	664	5976
100	667	5943
101	671	5909
102	677	5897
103	682	5880
104	686	5852
105	693	5847
106	695	5807
107	698	5769
108	704	5759
109	706	5714
110	710	5690
111	713	5658
112	718	5638
113	724	5632
114	727	5597
115	735	5602
116	743	5609
117	749	5598
118	758	5618
119	764	5604
120	770	5600
121	775	5583
122	779	5560
123	783	5537
124	788	5519
125	792	5498
126	794	5460
127	799	5447
128	803	5425
129	809	5420
130	814	5400
131	819	5387
132	832	5427
133	835	5398
134	851	5456
135	861	5473
136	863	5438
137	878	5486
138	888	5503
139	896	5506
140	898	5472
141	900	5443
142	906	5433
143	908	5402
144	910	5369
145	913	5341
146	914	5307
147	916	5274
148	918	5245
149	919	5212
150	921	5180
151	923152	934	5174
153	951	5224
154	964	5255
155	967	5232
156	976	5241
157	980	5227
158	983	5203
159	990	5200
160	996	5190
161	999	5171
162	1001	5142
163	1008	5143
164	1012	5124
165	1017	5110
166	1027	5124
167	1030	5103
168	1044	5134
169	1057	5164
170	1062	5150
171	1066	5135
172	1078	5155
173	1086	5157
174	1092	5152
175	1097	5136
176	1103	5130
177	1112	5138
178	1115	5115
179	1117	5091
180	1124	5086
181	1128	5073
182	1130	5047
183	1136	5038
184	1139	5020
185	1144	5006
186	1147	4988
187	1156	4993
188	1159	4977
189	1161	4952
190	1164	4932
191	1171	4928
192	1175	4916
193	1180	4905
194	1189	4911
195	1196	4910
196	1206	4919
197	1209	4900
198	1212	4882
199	1222	4891
200	1224	4869
201	1227	4850
202	1238	4862
203	1243	4853
204	1247	4836
205	1253	4832
206	1257	4816
207	1261	4801
208	1266	4793
209	1272	4786
210	1286	4811
211	1288	4790
212	1295	4784
213	1299	4773
214	1307	4774
215	1312	4763
216	1318	4755
217	1322	4742
218	1323	4721
219	1325	4700
220	1329	4685
221	1340	4699
222	1345	4686
223	1352	4684
224	1356	4673
225	1362	4665
226	1366	4654
227	1373	4649
228	1377	4636
229	1378	4615
230	1386	4616
231	1390	4603
232	1394	4590
233	1398	4576
234	1404	4570
235	1408	4558
236	1410	4542
237	1418	4540
238	1421	4525
239	1423	4506
240	1429	4502
241	1435	4496
242	1439	4485
243	1441	4466
244	1446	4457
245	1452	4451
246	1456	4439
247	1459	4425
248	1460	4406
249	1466	4400
250	1471	4390
251	1474	4375
252	1480	4372
253	1488	4372
254	1495	4367
255	1500	4361
256	1504	4348
257	1506	4333
258	1525	4365
259	1527	4347
260	1534	4343
261	1536	4327
262	1540	4316
263	1543	4303
264	1550	4300
265	1555	4292
266	1558	4278
267	1564	4273
268	1570	4268
269	1574	4258
270	1580	4251
271	1585	4242
272	1589	4231
273	1598	4234
274	1603	4228
275	1606	4214
276	1620	4229
277	1631	4236
278	1633	4221
279	1636	4209
280	1640	4198
281	1649	4199
282	1653	4188
283	1657	4177
284	1664	4176
285	1668	4164
286	1671	4153
287	1675	4143
288	1680	4135
289	1685	4127
290	1690	4117
291	1693	4105
292	1699	4099
293	1703	4089
294	1706	4077
295	1714	4076
296	1719	4069
297	1725	4063
298	1727	4051
299	1733	4043
300	1738	4037
301	1742	4027
302	1748	4022
303	1751	4010
304	1754	3996
305	1762	3998
306	1766	3986
307	1769	3975
308	1771	3961
309	1776	3954
310	1780	3944
311	1785	3938
312	1795	3940
313	1802	3938
314	1810	3936
315	1816	3931
316	1823	3929
317	1832	3929
318	1836	3920
319	1838	3907
320	1845	3903
321	1848	3891
322	1853	3885
323	1856	3874
324	1861	3867
325	1865	3856
326	1871	3851
327	1876	3845
328	1878	3830
329	1887	3832
330	1892	3825
331	1896	3816
332	1903	3812
333	1904	3798
334	1909	3790
335	1913	3780
336	1916	3769
337	1919	3759
338	1922	3748
339	1925	3737
340	1929	3728
341	1934	3721
342	1937	3711
343	1941	3702
344	1944	3691
345	1948	3682
346	1952	3674
347	1955	3663
348	1958	3653
349	1959	3639
350	1965	3633
351	1967	3622
352	1969	3609
353	1970	3596
354	1973	3586
355	1977	3577
356	1982	3571
357	1984	3558
358	1985	3545
359	1987	3534
360	1995	3532
361	1998	3522
362	2000	3510
363	2005	3503
364	2009	3495
365	2011	3484
366	2017	3480
367	2019	3468
368	2024	3462
369	2027	3452
370	2032	3446
371	2036	3437
372	2041	3431
373	2044	3422
374	2048	3413
375	2056	3413
376	2060	3405
377	2062	3393
